"","rheobase_sweep_num","thumbnail_sweep_num","vrest","ri","sag","tau","vm_for_sag","f_i_curve_slope","adaptation","latency","avg_isi","upstroke_downstroke_ratio_long_square","peak_v_long_square","peak_t_long_square","trough_v_long_square","trough_t_long_square","fast_trough_v_long_square","fast_trough_t_long_square","threshold_v_long_square","threshold_i_long_square","threshold_t_long_square","upstroke_downstroke_ratio_ramp","peak_v_ramp","peak_t_ramp","trough_v_ramp","trough_t_ramp","fast_trough_v_ramp","fast_trough_t_ramp","threshold_v_ramp","threshold_i_ramp","threshold_t_ramp","upstroke_downstroke_ratio_short_square","peak_v_short_square","peak_t_short_square","trough_v_short_square","trough_t_short_square","fast_trough_v_short_square","fast_trough_t_short_square","threshold_v_short_square","threshold_i_short_square","threshold_t_short_square"
"SM-GE95A_S053_E1-50",10,11,-65.334912109375,149.687603116035,0.091201975941658,24.4634488203821,-82.7812576293945,0.128663789699392,0.456140350877193,0.02688,58.14,2.28080308267664,42.0625038146973,0.5506,-52.8125,0.55184,-52.5937538146973,0.55176,-40.53125,119.999992370605,0.5502,1.83811061261818,34.5416679382324,9.36337333333333,-45.3541679382324,9.36872,-44.9583396911621,9.36471333333333,-30.4270839691162,221.625,9.36286,2.18337784501498,42.3937492370605,0.415764,-64.90625,0.874296,-54.6062507629395,0.416924,-46.3812484741211,600,0.415364
"SM-GE95A_S031_E1-50",11,12,-78.4957077026367,174.687460064888,0.0291352532804012,14.1959483794806,-98.9375076293945,0.255335968379447,0.0853823390465034,0.0315000000000001,46.8822222222222,1.77422041085081,23.21875,0.6002,-59.4375038146973,0.60154,-59.34375,0.60146,-37.90625,50,0.5998,1.56212395541248,21.59375,5.53522,-58.3437538146973,5.53658,-58.2500038146973,5.53647,-35.0625,125.9375,5.53477,1.84374159132568,23.4187507629395,0.50326,-78.875,1.247108,-60.2687568664551,0.504408,-44.7000007629395,630,0.50288
"SM-GE95A_S032_E1-50",10,12,-70.4283378601074,240.156352519989,0.054597519338131,14.979647568105,-98.125,0.302857142857143,0.0109596869609559,0.0156000000000001,28.06,3.49293363196444,32.6562538146973,0.5355,-54.6562538146973,0.53906,-53.7812538146973,0.53756,-40.4062538146973,70,0.53508,3.06887079672529,29.0625,3.65356,-54.453125,3.65815,-53.4062538146973,3.65621,-36.3750038146973,78.875,3.65304,3.64805258144255,33.5312515894572,0.503253333333333,-70.203125,1.14656333333333,-55.75,0.506063333333333,-41.1302108764648,400,0.502856666666667
"SM-GE95A_S054_E1-50",11,12,-84.6523759629991,84.843635559082,0.00716869719326496,6.32416133652032,-94.9062576293945,0.362142857142857,0.0017646244965396,0.00665999999999989,11.6828235294118,1.71873313105861,7,0.50952,-68.15625,0.51072,-68.03125,0.51058,-50.65625,360,0.50918,1.52180153844889,5.38541746139526,10.9604133333333,-67.6979141235352,10.9618733333333,-67.4479141235352,10.9616133333333,-42.0104179382324,261.583343505859,10.96004,1.75964571833606,8.45625019073486,0.502664,-84.9062515258789,1.03242,-73.2062530517578,0.50402,-55.2874984741211,800,0.502352
"SM-GE95A_S050_E1-50",10,11,-76.686017036438,110.156245529652,0.0467466302216053,6.93263835541469,-90.4375,1.125,0.0033835433548157,0.0103599999999999,15.8248387096774,1.2013367061293,13,0.5646,-62.3437538146973,0.5655,-62.3125038146973,0.56544,-34.0312538146973,230,0.56426,1.12935747224205,11.3125009536743,10.78874,-59.2812538146973,10.7897,-59.1875,10.78962,-32.625,257.25,10.78836,1.36818342337755,20.9296875,0.503305,-75.8437576293945,0.82618,-66.7109375,0.504055,-48.7421875,460,0.503015
"SM-GE95A_S026_E1-50",10,11,-60.9022871653239,197.499990463257,0.070342555642128,18.8059927410577,-82.09375,0.178341010297045,0.151978243657592,0.04304,54.92,1.98544615747855,22.0312519073486,0.59794,-41.5937538146973,0.61208,-39.3750038146973,0.59938,-27.9062519073486,110,0.59752,1.47334613150533,20.4375019073486,9.74118,-38.1562538146973,9.74266,-38.03125,9.74244,-23.0312519073486,231.125,9.74068,1.824977194111,28.0000019073486,0.503506666666667,-61.2916679382324,1.02632,-48.40625,0.504666666666667,-33.7916679382324,610,0.503146666666667
"SM-GE95A_S055_E1-50",12,13,-65.1016557481554,105.000033974648,0.00978648290038109,7.53753320548367,-77.1875,0.530714390953235,0.00143371091015765,0.00741999999999998,11.8385542168675,1.69534514539385,26.71875,0.51266,-48.2187538146973,0.51372,-48.1875,0.51368,-27.4062519073486,340,0.51232,1.41235795172966,21.3125019073486,13.4392533333333,-43.4375,13.4406533333333,-43.28125,13.4404666666667,-20.2187519073486,323.541656494141,13.4388333333333,1.82251707419907,29.0500030517578,0.502576,-64.6624984741211,1.066888,-51.1750030517578,0.503764,-35.7750015258789,800,0.502256
"SM-GE95A_S033_E1-50",12,13,-68.4144758744673,212.031126022339,0.0594263076782227,12.7095334250678,-93.2812576293945,0.191428592635176,0.0330488372136743,0.00961999999999996,60.4826666666667,3.6039958271561,32,0.5375,-51.125,0.54132,-50.65625,0.5396,-42.6250038146973,90,0.53706,2.83555705874495,22.046875,5.10947,-50.6250038146973,5.11516,-49.875,5.11218,-38.0156288146973,115.3125,5.10886,3.00976055226231,29.0562496185303,0.503288,-68.8874969482422,1.10324,-54.1937484741211,0.5053,-47.4249992370605,300,0.50292
"SM-GE95A_S051_E1-50",10,11,-73.327449798584,96.562497317791,0.0687120705842972,5.7587612911605,-84.9375076293945,0.825000000000001,0.0068385532982451,0.0280400000000001,19.0282926829268,1.33195749023103,23.4375019073486,0.67684,-56.3750038146973,0.67782,-56.2187538146973,0.67778,-30.46875,310,0.6765,1.21891419750715,19.5,15.79698,-55.0625038146973,15.79808,-54.9062538146973,15.79794,-27.6875019073486,382.5,15.79658,1.46184521319772,25.848217010498,0.503428571428571,-73.0267868041992,0.945334285714286,-61.1205368041992,0.50438,-42.5714302062988,630,0.503117142857143
"SM-GE95A_S034_E1-50",10,12,-71.7144622802734,239.375025033951,0.161803469061852,10.3194865381677,-100.250007629395,0.272857142857143,0.0408167445251961,0.0105,43.7728571428571,3.11235821977936,32.3125,0.58674,-48.4687538146973,0.59674,-45,0.588,-38.90625,70,0.5864,3.159078754887,35.84375,2.6927,-51.9843788146973,2.70952,-48.78125,2.69416,-40.828125,54.875,2.69236,2.88381554555474,38.65234375,0.50338,-73.1796875,1.1386725,-50.49609375,0.5045075,-47.109375,270,0.5030875
