,0,1,2,3,4,5,6,7,8,9
Il1rap,-0.016605398,0.008672836,0.027121928,0.0004553474,-0.031498056,-0.0077873343,0.020532133,-0.019422725,0.016507251,0.02818877
Kcnq5,-0.016571684,-0.009326189,-0.0014415747,0.011909348,0.044071067,-0.018257475,-0.039231982,-0.052725118,0.04223273,-0.0006075514
Pcdh11x,-0.016935045,0.016259182,0.0073564015,0.032479484,-0.024546435,-0.025021955,-0.01105476,-0.0071568126,0.013940615,0.0087143555
Gm31445,-0.010231903,-0.0021960337,0.0056187576,0.0024461625,0.0037840437,-0.018583266,-0.019330509,-0.031427395,0.014822709,0.022613147
Stxbp6,-0.017111894,0.033169743,0.00048139563,-0.014250547,-0.050829966,-0.018157179,-0.00025448843,-0.008151131,0.0050648204,0.04387478
Nell1,-0.0035364374,0.041764565,0.00061163283,0.04774885,-0.05800723,-0.02267105,-0.013412321,-0.010560636,0.023161206,-0.023942837
Tac2,-0.03150004,-0.00023229935,0.049918156,-0.011561127,0.0010586043,0.042410623,0.052844264,-0.04215358,0.02286267,0.02266012
Cck,-0.027793135,0.025652127,0.002132578,-0.027243266,-0.035454158,-0.013014258,0.0038042937,-0.010669745,-0.0026541778,0.061162695
Nkain3,0.015329823,0.057942178,0.045581404,0.043520562,-0.013364581,-0.04539772,0.0010742962,-0.04012993,-0.010909267,-0.023750387
Igf1,-0.035148244,-0.033358958,-0.00039206992,0.013813119,0.038729046,-0.015105255,-0.0035210191,-0.03052095,0.030864174,0.026040038
Cdh13,-0.0029507184,0.0074198493,0.00090430694,0.009454464,-0.0038296091,-0.01597262,-0.01091242,-0.031574696,0.017801646,0.012828434
Cntn5,-0.02016837,0.048802182,-0.04841581,-0.074468024,-0.04424045,-0.017057281,-0.021147527,-0.0075520417,0.045936204,0.088020705
Gm34196,-0.01815015,0.015040825,0.0072447457,-0.021851586,-0.029722743,-0.007967971,0.0016408433,-0.014678403,-0.0005052531,0.050837312
Slit2,-0.024348214,-0.02574186,0.01799426,0.015123913,0.055507034,-0.003994896,-0.026472833,-0.03261139,0.057183888,0.016475262
Olfm3,-0.009918411,0.014643707,0.006433185,0.014411598,0.00854609,-0.011038212,-0.018903365,-0.031612795,0.017844891,0.009694042
Slc44a5,-0.032489687,-0.0008750922,0.053839415,0.001506687,0.0036632302,0.03942872,0.036315456,-0.05567563,0.020678714,0.0012684754
Galnt18,-0.011784369,0.0002879053,0.0019263651,0.00018352314,0.021683704,-0.0066578835,-0.027435658,-0.041866135,0.027981423,0.01451902
Serpine2,0.014475353,0.029968163,-0.008291621,0.002937514,-0.017339759,-0.022407744,0.004503523,-0.021036768,0.013069052,0.024720589
Kcnt2,-0.04345705,0.03487149,0.0048988904,0.0126383575,0.023817765,0.028372731,-0.0023816293,-0.0014982893,0.03759453,0.0250465
Cnr1,-0.053830594,0.032594416,0.023390403,0.068572626,-0.017644469,-0.022470575,-0.009310851,0.018490667,0.070945695,-0.016881501
C1qa,-0.041199885,0.052779093,0.01729878,-0.09624257,-0.09006065,-0.055097416,-0.038048424,-0.0055736266,-0.026102452,0.12142281
Tox,-0.006587798,0.007925622,0.030850494,0.046168797,-0.034416642,-0.033700857,0.007080702,-0.008411172,0.00069010165,0.00051121344
